sentence1,sentence2,similarity_score
Manning sentenced to 35 years in prison,"Ariel Castro sentenced to 1,000 years in prison",0.4
US Senate approves fiscal cliff deal,"It's official: Deal reached on ""fiscal cliff""",3.4
"Zimmerman stopped for speeding in Texas, released with warning","Zimmerman pulled over in Texas for speeding, given warning",5.0
Iran's Rouhani warns of Talibanisation in Syria,"Russia, China Concerned About Israeli Airstrikes in Syria",1.4
Syria denies reports of deadly Damascus nerve gas attack,US allies get help to repel Iranian computer attacks,0.0
China stocks close higher after economic meeting,China stocks close higher on Wednesday,3.4
Russia unveils $30 billion oil link to Pacific,Russia unveils $25bn oil link to Pacific,3.4
"Police kill gunman, find 3 more dead in Colo. home",4 dead after police standoff with gunman barricaded in US home,2.0
Dolce and Gabbana convicted of tax evasion,Dolce and Gabbana Fined in Italian Tax Case,3.0
7.2-magnitude quake hits Pakistan: CENC,7.7-magnitude earthquake hits SW Pakistan,3.8
UK alert on Syrian chemical arms,West raises stakes over Syria chemical claims,3.8
China stocks close lower on Friday,China stocks close higher on Wednesday,1.8
Asteroid zips between Earth and satellites,Asteroid passes Earth in fly-by,4.4
Fight for Mali Town Reflects Islamist Tactics,EU to train Mali army to fight northern Islamist militants,2.0
Two Santa trackers competing this Christmas,Spain turning back the clock on siestas,0.0
Ships Train for Syrian Chemical Weapons Transport,"Syria Loads Chemical Weapons into Bombs, Awaiting Assad Order",2.6
Mayor says 14 dead in Texas fertilizer plant blast,Rescuers search for survivors of Texas fertiliser plant blast,1.4
"2 killed, 11 wounded in attacks in Iraq","15 killed, 90 wounded in fresh attacks in Iraq",2.2
Can the U.S. trust Syria to hand over chemical weapons?,US says Syria may have used sarin gas in chemical weapons,1.0
Mexican singer Jenni Rivera believed killed in plane crash,"Jenni Rivera, Mexican music star, dies in plane crash",3.4
Bangladesh court sentences first lawmaker to death for war crimes,British PM pushes Sri Lanka on war crimes,1.8
Mugabe declared winner of disputed elections,Zimbabwe: Mugabe declared winner in disputed vote,4.0
Death toll climbs to 15 in Indonesia boat sinking,Indonesia: Death toll rises to 11 in Indonesia boat capsize,3.6
Egyptian court bans Muslim Brotherhood,Egypt court bans Muslim Brotherhood 'activities',3.8
Rouhani leads in Iran presidential vote - preliminary results,Rouhani leads in initial Iran count,4.2
"Israelis, Palestinians convene over prisoner swap",Israeli lawmakers call for internal probe into case of Prisoner X,1.2
Police attacked in Belfast flag protests,Politicians in flag violence talks,0.6
CBN reiterates plan to phase out polymer notes,Nigeria announces plans to change polymer Naira notes,2.2
S.Korea proposes 'final' N.Korea talks over Kaesong,North Korea proposes high-level talks with US,1.0
"India gang-rape victim ""struggling against the odds""",Indian rape victim dies in Singapore hospital,1.8
"Gunmen kill 9 foreign tourists, 1 Pakistani",Gunmen Kill 11 Foreign Tourists in Pakistan,2.8
Statement by the Spokesperson of High Representative Catherine Ashton on the latest spate of attacks in Iraq,"Statement by the spokesperson of the EU High Representative, Catherine Ashton, on the resumption of executions in Iraq",3.2
Egypt increases security before pro-Morsi protests,Egypt bracing for massive protests,3.0
Yacimovich urges cabinet to approve Palestinian prisoners release,Israel agrees to free 104 Palestinian prisoners,2.0
U.S. files espionage charges agains NSA leaker,US files espionage charges against Snowden over leaks,3.8
Palestinians build another West Bank tent protest,Palestinians' first ever UN vote symbolic yet historic,0.4
Bangladesh building collapse death toll hits 362,Bangladesh building-collapse death toll climbs to 580,3.6
Israeli envoys summoned over settlement plans,Britain summons Israeli envoy over settlements,2.5
Chinese general's son gets 10 years jail for rape,Chinese general’s son gets 10 years’ jail for gang-rape,4.2
"2 dead, 2 injured in Nevada middle school shooting","Nevada: 2 dead, 2 hurt in middle school shooting",5.0
Moderate earthquake jolts NW Pakistan,Moderate earthquake hits southern Pakistan,3.0
Hamas mixed sex schools ban takes effect,Hamas in mixed-sex school 'ban',4.2
32 die in Bangladesh protest,1 Killed in Bangladesh Protest,2.2
Man arrested after police officer shot in Leeds,Navy panel urges ouster of officer who faked death,0.4
Ukrainian Prime Minister resigns amid protests,Turkish Prime Minister signals return to hardline on protesters,0.6
